(classic white blouse:1.6),(tailored black trousers:1.5),(gold chain necklace:1.4),(office cubicle background:1.3)
(ruffled off-the-shoulder dress:1.5),(straw hat:1.4),(basket woven bag:1.3),(beachside boardwalk background:1.4)
(leather jacket with patchwork:1.4),(skinny ripped jeans:1.3),(motorcycle boots:1.2),(rock concert background:1.4)
(vintage lace dress:1.5),(pearl necklace:1.4),(satin gloves:1.3),(elegant ballroom background:1.4)
(embroidered kimono jacket:1.4),(wide-leg jumpsuit:1.3),(strappy heels:1.2),(relaxed resort background:1.4)
(knit sweater dress:1.5),(over-the-knee boots:1.4),(felt fedora hat:1.3),(autumn foliage background:1.4)
(tailored blazer:1.4),(pleated trousers:1.3),(pointed-toe loafers:1.2),(business conference background:1.4)
(denim jacket with patched artwork:1.5),(graphic tee:1.4),(cargo pants:1.3),(music festival background:1.4)
(graffiti printed hoodie:1.4),(track pants:1.3),(chunky sneakers:1.2),(street art festival background:1.4)
(strapless bikini top:1.5),(high-waisted shorts:1.4),(straw hat:1.3),(beach resort background:1.4)
(artist smock:1.4),(paint-splattered jeans:1.3),(canvas sneakers:1.2),(art workshop background:1.4)
(tuxedo blazer:1.5),(wide-leg trousers:1.4),(pointed-toe pumps:1.3),(upscale dining background:1.4)
(asymmetrical blouse:1.4),(pleated midi skirt:1.3),(kitten heels:1.2),(café corner background:1.4)
(tropical print maxi dress:1.5),(straw wide-brim hat:1.4),(woven slides:1.3),(beach pier background:1.4)
(linen shirt dress:1.4),(straw crossbody bag:1.3),(slip-on espadrilles:1.2),(picnic garden background:1.4)
(plaid trench coat:1.5),(vintage turtleneck:1.4),(wide-leg jeans:1.3),(bookstore corner background:1.4)
(striped beret:1.4),(polka dot midi skirt:1.3),(retro ankle boots:1.2),(parisian café background:1.4)
(army green cargo jacket:1.5),(camouflage cargo pants:1.4),(combat boots:1.3),(military base background:1.4)
(crochet bikini:1.4),(flowy maxi skirt:1.3),(straw beach bag:1.2),(beachside resort background:1.4)
(chic tweed blazer:1.5),(cigarette trousers:1.4),(pointed-toe pumps:1.3),(modern diner background:1.4)
(printed kimono cardigan:1.4),(wide-leg jumpsuit:1.3),(platform espadrilles:1.2),(botanical garden background:1.4)
(minimalist black dress:1.5),(sculptural heeled sandals:1.4),(statement clutch:1.3),(art museum background:1.4)
(retro polka dot dress:1.4),(vintage sunglasses:1.3),(block-heel sandals:1.2),(retro diner background:1.4)
(tailored blazer dress:1.5),(pointed-toe mules:1.4),(structured handbag:1.3),(office workspace background:1.4)
(leather biker jacket:1.4),(skinny black jeans:1.3),(ankle boots with buckles:1.2),(nightclub background:1.4)
(athleisure tracksuit:1.5),(sneakers with colorful soles:1.4),(baseball cap:1.3),(urban market background:1.4)
(bohemian wedding gown:1.4),(flower crown:1.3),(barefoot sandals:1.2),(beachside ceremony background:1.4)
(denim jacket with embroidery:1.5),(wide-leg culottes:1.4),(canvas sneakers:1.3),(art café background:1.4)
(industrial-style jumpsuit:1.4),(leather ankle boots:1.3),(statement belt:1.2),(industrial workshop background:1.4)
(cozy knit sweater:1.5),(corduroy skirt:1.4),(knee-high boots:1.3),(autumn forest background:1.4)
(classic black blazer:1.4),(pencil skirt:1.3),(pointed-toe pumps:1.2),(business meeting background:1.4)
(floral printed romper:1.5),(straw wide-brim hat:1.4),(rattan crossbody bag:1.3),(music festival background:1.4)
(street art inspired hoodie:1.4),(distressed jeans:1.3),(high-top sneakers:1.2),(urban street background:1.4)
(boho chiffon maxi dress:1.5),(feather headpiece:1.4),(barefoot sandals:1.3),(garden party background:1.4)
(denim jacket with painting:1.4),(printed tank top:1.3),(cargo shorts:1.2),(outdoor music concert background:1.4)
(faux fur coat:1.5),(lace trimmed slip dress:1.4),(velvet ankle boots:1.3),(winter wonderland background:1.4)
(polished pinstripe blazer:1.4),(wide-leg trousers:1.3),(block-heel loafers:1.2),(business conference background:1.4)
(leather jacket with embellishments:1.5),(sequin mini skirt:1.4),(studded heels:1.3),(nightlife disco background:1.4)
(festival fringe vest:1.4),(ripped denim shorts:1.3),(cowboy boots:1.2),(desert sunset background:1.4)
(striped bikini:1.5),(flowy wrap skirt:1.4),(straw tote bag:1.3),(beachside resort background:1.4)
(knit cardigan:1.4),(printed midi skirt:1.3),(slip-on sneakers:1.2),(cozy café background:1.4)
