Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Jumpsuits, Silver Silk Bra and Panty Set with Garter Belt, Escort, Short, Wide Hips, Oval Face, Fair Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, round breasts, Clip-on earrings, fuchsia cream lipstick, (peek-a-boo):1.6, (bra outline):0.9
Wrap dresses, Charcoal Sheer Bra and Panty Set, Female Warrior, Short, Slim, Triangular Face, Fair Skin, White Hair, coral Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Double Braided Crown, perky breasts, Drop earrings, terracotta cream lipstick, (peek-a-boo):1.1, (bra outline):1.3
High-waisted pants with a tucked-in blouse and statement necklace, Gold Mesh Bra and Panty Set with Garter Belt, Duchess, Average Height, Skinny, Oval Face, Fair Skin, Blonde Hair, Gray Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, full breasts, Faux gauge earrings, gloss matte lipstick, (peek-a-boo):1.5, (bra outline):1.2
A-line midi skirt with a silk blouse and pumps, Purple Velvet Bra and Panty Set with Lace Trim, Vixen, Short, Skinny, Round Face, Fair Skin, Black Hair, Brown Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Chignon, round breasts, Drop earrings, green metallic lipstick, (peek-a-boo):1.9, (bra outline):1.2
Floral blouse with a fitted pencil skirt and ankle boots, Blue Satin and Lace Cami and Short Set, Artist, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Sleek Bun, saggy breasts, Hoop earrings, terracotta matte lipstick, (peek-a-boo):1.2, (bra outline):0.9
Off-the-shoulder dresses, Red Mesh Chemise with Strappy Back Detail, Woman, Tall, Toned, Square Face, Fair Skin, Golden Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Triple Braided Crown, saggy breasts, soft pink matte lipstick, (peek-a-boo):1.2, (bra outline):0.8
T-shirt dresses, White Sheer Teddy with Lace Trim, Belle, Average Height, Wide Hips, Triangular Face, Dark Skin, Gray Hair, Blue Eyes with Green Flecks, Straight Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Low Chignon, perky breasts, Stud earrings, gloss stain lipstick, (peek-a-boo):1.2, (bra outline):1.1
Maxi dresses, Teal Velvet Chemise with Ruffles , Charmer, Short, Wide Hips, Square Face, Dark Skin, Red Hair, pink Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Side Bangs, saggy breasts, Dangle earrings, mauve velvet lipstick, (peek-a-boo):1.0, (bra outline):0.8
Long-sleeve dresses, Yellow Mesh Bralette and High-Waisted Panty Set, Luminary, Average Height, Skinny, Square Face, Fair Skin, Red Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Herringbone Braid, small breasts, Clip-on earrings, orange metallic lipstick, (peek-a-boo):1.1, (bra outline):0.7
Maxi dresses, Charcoal Sheer Bra and Panty Set, Trailblazer, Short, Narrow Hips, Oval Face, Olive Skin, Light Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Curly Afro, firm breasts, Clip-on earrings, golden cream lipstick, (peek-a-boo):1.6, (bra outline):1.2
T-shirt dresses, White Lace Bralette and Boyshorts Set, Luminary, Short, Wide Hips, Round Face, Olive Skin, Dark Brown Hair, dark brown Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, soft breasts, violet satin lipstick, (peek-a-boo):1.9, (bra outline):1.0
Wrap dresses, Tan Faux Leather Slip Dress, Belle, Tall, Thin, Round Face, Fair Skin, Strawberry Blonde Hair, blue Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, High Messy Bun, saggy breasts, green matte lipstick, (peek-a-boo):1.5, (bra outline):0.9
Strapless dresses, Blue Satin and Lace Cami and Short Set, Visionary, Average Height, Firm, Square Face, Fair Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Updo, large breasts, brown matte lipstick, (peek-a-boo):1.4, (bra outline):1.3
Pencil skirt with a tucked-in blouse and blazer, Orange Satin Slip, Temptress, Tall, Firm, Triangular Face, Tan Skin, Blonde Hair, Amber Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Wavy Updo, full breasts, Dangle earrings, terracotta cream lipstick, (peek-a-boo):1.6, (bra outline):0.7
Midi dresses, Yellow Lace Garter Belt , Belle, Tall, in shape, Square Face, Dark Skin, Blonde Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Curled Bob, small breasts, Dangle earrings, brown satin lipstick, (peek-a-boo):1.2, (bra outline):1.0
Off-the-shoulder dresses, Maroon Satin and Lace Corset , Lady, Average Height, Slim, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, peach Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Ballerina Bun, natural breasts, Hoop earrings, terracotta satin lipstick, (peek-a-boo):1.8, (bra outline):0.9
Long-sleeved midi dress with a belt and structured blazer, Pink Lace Chemise with Ruffle Details, Charmer, Average Height, Toned, Round Face, Dark Skin, Blonde Hair, Gray Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Dutch Braid, firm breasts, Threader earrings, hot pink stain lipstick, (peek-a-boo):1.3, (bra outline):1.1
Rompers, Blue Satin and Lace Cami and Short Set, Miss, Short, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Bun, soft breasts, Clip-on earrings, hot pink gloss lipstick, (peek-a-boo):1.6, (bra outline):1.2
T-shirt dresses, Grey Faux Leather Corset , Empress, Short, Fit, Triangular Face, Tan Skin, White Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Chignon, perky breasts, Huggie earrings, light pink velvet lipstick, (peek-a-boo):1.9, (bra outline):1.2
Printed pants with a tucked-in blouse and cropped blazer, Orange Satin Slip, Baroness, Tall, Narrow Hips, Square Face, Olive Skin, Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Coarse Hair, Straight Bob with Layers, perky breasts, Hoop earrings, peach satin lipstick, (peek-a-boo):2.0, (bra outline):1.2
Maxi dresses, Pink Lace Garter Slip with Matching Thong, Female Warrior, Tall, Slim, Square Face, Tan Skin, Light Brown Hair, Hazel Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon, large breasts, Huggie earrings, cream stain lipstick, (peek-a-boo):1.4, (bra outline):0.8
Long-sleeved midi dress with a belt and structured blazer, White Satin and Lace Bra and Panty Set, Sensation, Tall, Toned, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, ice blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Blunt Cut Bangs, augmented breasts, Cuff earrings, soft pink matte lipstick, (peek-a-boo):1.0, (bra outline):0.9
Silk wrap dress with a fitted blazer, Pink Lace Chemise with Ruffle Details, Countess, Tall, in shape, Oval Face, Olive Skin, White Hair, Sapphire Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Fancy Updo, soft breasts, Clip-on earrings, beige cream lipstick, (peek-a-boo):1.9, (bra outline):1.1
Short dresses, Yellow Lace Garter Belt , Heiress, Tall, Skinny, Heart-Shaped Face, Dark Skin, Brunette Hair, yellow Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Updo, soft breasts, Hoop earrings, magenta metallic lipstick, (peek-a-boo):1.1, (bra outline):1.1
Halter dresses, Ivory Lace Teddy, Visionary, Average Height, Slim, Round Face, Dark Skin, Honey Blonde Hair, pink Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Rope Braid, small breasts, Dangle earrings, coral matte lipstick, (peek-a-boo):1.8, (bra outline):1.0
Caftans, Purple Velvet Robe with Fur Trim , Trailblazer, Tall, Athletic, Round Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, augmented breasts, Stud earrings, violet matte lipstick, (peek-a-boo):1.3, (bra outline):0.8
Sleeveless jumpsuit with a longline vest and platform sandals, Navy Blue Satin Garter Belt with Suspenders , Female Warrior, Short, Firm, Diamond-Shaped Face, Tan Skin, Silver Hair, jade Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Chignon, round breasts, Drop earrings, rose stain lipstick, (peek-a-boo):1.7, (bra outline):0.7
Sleeveless dresses, Red Mesh Chemise with Strappy Back Detail, Goddess, Tall, Slim, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, soft breasts, Dangle earrings, violet matte lipstick, (peek-a-boo):1.7, (bra outline):0.8
Flared pants with a matching blazer and pointy-toe flats, Blue Strappy Bodysuit with Cutouts, Goddess, Short, in shape, Heart-Shaped Face, Fair Skin, Silver Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, round breasts, Huggie earrings, golden sheer lipstick, (peek-a-boo):1.8, (bra outline):0.8
Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Bra and Panty Set with Lace Trim, Babe, Tall, Fit, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, black Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, round breasts, Clip-on earrings, soft pink velvet lipstick, (peek-a-boo):1.5, (bra outline):0.7
Long-sleeved midi dress with a belt and structured blazer, Blue Strappy Bodysuit with Cutouts, Sensation, Tall, Thin, Oval Face, Tan Skin, Chestnut Hair, aquamarine Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Stacked Bob, round breasts, Stud earrings, coral matte lipstick, (peek-a-boo):1.4, (bra outline):1.2
Sleeveless dresses, Olive Green Mesh Garter Belt with Stockings, Visionary, Average Height, Fit, Heart-Shaped Face, Fair Skin, Silver Hair, coral Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Low Messy Bun, saggy breasts, Dangle earrings, plum velvet lipstick, (peek-a-boo):1.8, (bra outline):1.2
High-waisted pants with a tucked-in blouse and statement necklace, Green Satin and Lace Garter Belt with Matching Thong, Woman, Short, Lean, Square Face, Fair Skin, Black Hair, coral Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Layered Bob, asymmetrical breasts, Threader earrings, mauve metallic lipstick, (peek-a-boo):1.9, (bra outline):0.7
Printed pants with a tucked-in blouse and cropped blazer, Purple Velvet Slip with Lace Trim, Empress, Short, Firm, Oval Face, Fair Skin, Light Brown Hair, grey-blue Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, large breasts, Dangle earrings, pink cream lipstick, (peek-a-boo):1.2, (bra outline):0.8
Off-the-shoulder dresses, Cream Sequin Bra and Pant Set, Superwoman, Short, Firm, Round Face, Fair Skin, Brunette Hair, turquoise Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Braided Crown, asymmetrical breasts, Faux gauge earrings, cream metallic lipstick, (peek-a-boo):1.4, (bra outline):0.7
Classic black blazer with matching pants, Black Cutout Bodysuit with Zipper, Babe, Average Height, Athletic, Round Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Side-Swept Bangs, round breasts, Threader earrings, burgundy cream lipstick, (peek-a-boo):1.8, (bra outline):0.7
Wrap dresses, Charcoal Sheer Bra and Panty Set, Babe, Average Height, Toned, Triangular Face, Olive Skin, Light Brown Hair, yellow Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Tapered Afro, asymmetrical breasts, Dangle earrings, rust metallic lipstick, (peek-a-boo):1.8, (bra outline):1.1
Shift dress with a blazer, Green Sequin Slip Dress with Thigh-High Slits, Diva, Average Height, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey-blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Triple Braided Crown, natural breasts, Clip-on earrings, pink sheer lipstick, (peek-a-boo):1.3, (bra outline):0.8
Button-front midi skirt with a ribbed knit top and kitten heels, Blue Strappy Bodysuit with Cutouts, Escort, Average Height, in shape, Square Face, Olive Skin, Platinum Blonde Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Updo, full breasts, Drop earrings, rose matte lipstick, (peek-a-boo):1.9, (bra outline):1.1
Button-front midi skirt with a ribbed knit top and kitten heels, Gold Mesh Bra and Panty Set with Garter Belt, Vixen, Average Height, Skinny, Triangular Face, Olive Skin, Red Hair, amber Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, saggy breasts, Stud earrings, golden metallic lipstick, (peek-a-boo):1.5, (bra outline):1.3
Sheath dress with a collarless blazer and statement earrings, Red Satin Kimono with Lace Sleeve Detail, Duchess, Short, Fit, Square Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, full breasts, Faux gauge earrings, coral cream lipstick, (peek-a-boo):1.1, (bra outline):0.8
Maxi dresses, Pink Lace Chemise with Ruffle Details, Temptress, Short, Lean, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Beach Waves, round breasts, Stud earrings, fuchsia gloss lipstick, (peek-a-boo):1.7, (bra outline):0.9
Rompers, Black Cutout Bodysuit with Zipper, Seductress, Average Height, Firm, Oval Face, Tan Skin, Blonde Hair, Green Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Updo, full breasts, Drop earrings, teal metallic lipstick, (peek-a-boo):1.3, (bra outline):1.3
Shift dresses, Red Lace Bra and Panty Set with Garter Belt, Duchess, Average Height, Athletic, Triangular Face, Fair Skin, White Hair, teal Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Donut Bun, saggy breasts, Dangle earrings, orange matte lipstick, (peek-a-boo):1.0, (bra outline):0.9
Bodycon dresses, Pink Floral Corset, Empress, Average Height, Toned, Round Face, Dark Skin, Chestnut Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Short Afro, round breasts, Clip-on earrings, soft pink cream lipstick, (peek-a-boo):1.8, (bra outline):0.8
Cropped ankle pants with a tailored jacket and blouse, Black Leather Bralette and Panty Set, Goddess, Short, Toned, Square Face, Fair Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Frohawk, asymmetrical breasts, Dangle earrings, orange gloss lipstick, (peek-a-boo):1.9, (bra outline):0.9
Knee-length skirt suit in a neutral color, Orange Satin Slip, Maven, Average Height, Thin, Square Face, Fair Skin, Dark Brown Hair, Gray Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, High Messy Bun, augmented breasts, Clip-on earrings, magenta cream lipstick, (peek-a-boo):1.9, (bra outline):1.1
Sleeveless jumpsuit with a longline vest and platform sandals, Pink Lace Chemise with Ruffle Details, Charmer, Tall, Skinny, Round Face, Tan Skin, White Hair, amber Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Ponytail, large breasts, Hoop earrings, black gloss lipstick, (peek-a-boo):1.2, (bra outline):1.0
Wrap dresses, Pink Floral Corset, Escort, Short, Slim, Triangular Face, Tan Skin, Platinum Blonde Hair, amber Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Smooth Waves, round breasts, cream cream lipstick, (peek-a-boo):1.1, (bra outline):1.1
Sleeveless dresses, Yellow Lace Garter Belt , Siren, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Braided Crown, soft breasts, Drop earrings, berry matte lipstick, (peek-a-boo):1.3, (bra outline):1.2
Wrap dresses, Black Lace Bustier, Woman, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Blonde Hair, ruby Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Tousled Waves, full breasts, Clip-on earrings, golden cream lipstick, (peek-a-boo):1.0, (bra outline):1.2
Maxi dresses, Lavender Lace Bra and Panty Set , Charmer, Short, in shape, Round Face, Tan Skin, Auburn Hair, Brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Half Up Half Down, firm breasts, Drop earrings, red satin lipstick, (peek-a-boo):1.5, (bra outline):1.0
Rompers, Purple Velvet Slip with Lace Trim, Charmer, Average Height, Toned, Oval Face, Olive Skin, Red Hair, gold Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, full breasts, Hoop earrings, berry satin lipstick, (peek-a-boo):1.9, (bra outline):1.2
Sleeveless dresses, Green Satin and Lace Garter Belt with Matching Thong, Enchantress, Tall, Wide Hips, Triangular Face, Dark Skin, Brunette Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, French Roll, small breasts, Stud earrings, berry metallic lipstick, (peek-a-boo):1.3, (bra outline):1.0
Crisp white button-up shirt with black dress pants, Crimson Velvet Cami and Short Set , Woman, Average Height, Fit, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, asymmetrical breasts, Hoop earrings, rose gloss lipstick, (peek-a-boo):1.3, (bra outline):1.3
Tweed blazer with matching skirt, Tan Faux Leather Slip Dress, Vixen, Tall, Toned, Triangular Face, Olive Skin, White Hair, grey Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, saggy breasts, Dangle earrings, magenta stain lipstick, (peek-a-boo):1.1, (bra outline):1.3
Halter dresses, Teal Velvet Chemise with Ruffles , Duchess, Average Height, Thin, Square Face, Dark Skin, Black Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, saggy breasts, Huggie earrings, orange cream lipstick, (peek-a-boo):1.9, (bra outline):1.0
Sleeveless jumpsuit with a longline vest and platform sandals, Charcoal Sheer Bra and Panty Set, Seductress, Tall, Thin, Oval Face, Olive Skin, Auburn Hair, Brown Eyes with Green Flecks, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Smooth Waves, soft breasts, Clip-on earrings, berry metallic lipstick, (peek-a-boo):1.5, (bra outline):0.9
Fit-and-flare dresses, Red Satin Babydoll, Mistress, Short, Slim, Round Face, Olive Skin, Black Hair, Hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Shaggy Cut, soft breasts, Stud earrings, peach stain lipstick, (peek-a-boo):1.0, (bra outline):1.3
Knee-length skirt suit in a neutral color, Teal Velvet Chemise with Ruffles , Madame, Average Height, Thin, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, green Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Fringed Bangs, augmented breasts, Faux gauge earrings, beige stain lipstick, (peek-a-boo):1.6, (bra outline):0.7
Tweed blazer with matching skirt, Crimson Velvet Cami and Short Set , Belle, Short, Toned, Oval Face, Dark Skin, Black Hair, red Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Loose Curls, firm breasts, Drop earrings, plum satin lipstick, (peek-a-boo):1.9, (bra outline):0.9
Off-the-shoulder dresses, Red Satin Kimono with Lace Sleeve Detail, Lady, Short, Lean, Round Face, Olive Skin, Platinum Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Fine Hair, Wavy Bob, perky breasts, Stud earrings, berry gloss lipstick, (peek-a-boo):1.6, (bra outline):0.8
Flared pants with a matching blazer and pointy-toe flats, Brown Strappy Bodysuit, Visionary, Average Height, Lean, Heart-Shaped Face, Fair Skin, White Hair, grey Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob, firm breasts, Stud earrings, burgundy sheer lipstick, (peek-a-boo):1.2, (bra outline):1.2
Shift dresses, Purple Velvet Robe with Fur Trim , Starlet, Tall, in shape, Triangular Face, Olive Skin, Red Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Tapered Afro, natural breasts, Clip-on earrings, rose sheer lipstick, (peek-a-boo):1.6, (bra outline):0.7
Sleeveless dresses, Olive Green Mesh Garter Belt with Stockings, Luminary, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, saggy breasts, Dangle earrings, teal sheer lipstick, (peek-a-boo):1.5, (bra outline):1.2
Tweed blazer with matching skirt, Silver Sequin Bralette, Countess, Average Height, Skinny, Square Face, Tan Skin, Brunette Hair, Blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, firm breasts, Cuff earrings, berry satin lipstick, (peek-a-boo):1.9, (bra outline):0.9
Floral blouse with a fitted pencil skirt and ankle boots, Black Lace Bustier, Starlet, Tall, Athletic, Triangular Face, Olive Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Wedding Updo, perky breasts, Threader earrings, golden satin lipstick, (peek-a-boo):1.9, (bra outline):1.0
Printed pants with a tucked-in blouse and cropped blazer, Yellow Mesh Bralette and High-Waisted Panty Set, Charmer, Tall, in shape, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, ice blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Chignon, asymmetrical breasts, Dangle earrings, brown sheer lipstick, (peek-a-boo):1.4, (bra outline):1.0
Midi dresses, Blue Strappy Bodysuit with Cutouts, Phenom, Tall, Toned, Oval Face, Tan Skin, Honey Blonde Hair, brown Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Rope Braid, perky breasts, Huggie earrings, golden gloss lipstick, (peek-a-boo):1.9, (bra outline):0.8
Sleeveless dresses, Purple Velvet Slip with Lace Trim, Escort, Short, Thin, Diamond-Shaped Face, Fair Skin, Gray Hair, silver Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, large breasts, Clip-on earrings, violet sheer lipstick, (peek-a-boo):1.4, (bra outline):1.3
