Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, Photography Manipulation
Charcoal Sheer Bra and Panty Set, Trailblazer, Short, Narrow Hips, Oval Face, Olive Skin, Light Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Curly Afro, firm breasts, Clip-on earrings, golden cream lipstick, Pixel Art
White Lace Bralette and Boyshorts Set, Luminary, Short, Wide Hips, Round Face, Olive Skin, Dark Brown Hair, dark brown Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, soft breasts, violet satin lipstick, Textile Art
Tan Faux Leather Slip Dress, Belle, Tall, Thin, Round Face, Fair Skin, Strawberry Blonde Hair, blue Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, High Messy Bun, saggy breasts, green matte lipstick, Postmodernism
Blue Satin and Lace Cami and Short Set, Visionary, Average Height, Firm, Square Face, Fair Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Updo, large breasts, brown matte lipstick, ubiquitous oil painting
Orange Satin Slip, Temptress, Tall, Firm, Triangular Face, Tan Skin, Blonde Hair, Amber Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Wavy Updo, full breasts, Dangle earrings, terracotta cream lipstick, Land Art
Yellow Lace Garter Belt , Belle, Tall, in shape, Square Face, Dark Skin, Blonde Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Curled Bob, small breasts, Dangle earrings, brown satin lipstick, modernism oil painting
Maroon Satin and Lace Corset , Lady, Average Height, Slim, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, peach Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Ballerina Bun, natural breasts, Hoop earrings, terracotta satin lipstick, Ink Drawing
Pink Lace Chemise with Ruffle Details, Charmer, Average Height, Toned, Round Face, Dark Skin, Blonde Hair, Gray Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Dutch Braid, firm breasts, Threader earrings, hot pink stain lipstick, cubism oil painting
Blue Satin and Lace Cami and Short Set, Miss, Short, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Bun, soft breasts, Clip-on earrings, hot pink gloss lipstick, Neo-Expressionism
Grey Faux Leather Corset , Empress, Short, Fit, Triangular Face, Tan Skin, White Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Chignon, perky breasts, Huggie earrings, light pink velvet lipstick, Street Art
Orange Satin Slip, Baroness, Tall, Narrow Hips, Square Face, Olive Skin, Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Coarse Hair, Straight Bob with Layers, perky breasts, Hoop earrings, peach satin lipstick, Performance Art
Pink Lace Garter Slip with Matching Thong, Female Warrior, Tall, Slim, Square Face, Tan Skin, Light Brown Hair, Hazel Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon, large breasts, Huggie earrings, cream stain lipstick, Postmodernism
White Satin and Lace Bra and Panty Set, Sensation, Tall, Toned, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, ice blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Blunt Cut Bangs, augmented breasts, Cuff earrings, soft pink matte lipstick, cubism oil painting
Pink Lace Chemise with Ruffle Details, Countess, Tall, in shape, Oval Face, Olive Skin, White Hair, Sapphire Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Fancy Updo, soft breasts, Clip-on earrings, beige cream lipstick, Ink Drawing
Yellow Lace Garter Belt , Heiress, Tall, Skinny, Heart-Shaped Face, Dark Skin, Brunette Hair, yellow Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Updo, soft breasts, Hoop earrings, magenta metallic lipstick, Mosaic
Ivory Lace Teddy, Visionary, Average Height, Slim, Round Face, Dark Skin, Honey Blonde Hair, pink Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Rope Braid, small breasts, Dangle earrings, coral matte lipstick, Ink Drawing
Purple Velvet Robe with Fur Trim , Trailblazer, Tall, Athletic, Round Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, augmented breasts, Stud earrings, violet matte lipstick, Environmental Art
Navy Blue Satin Garter Belt with Suspenders , Female Warrior, Short, Firm, Diamond-Shaped Face, Tan Skin, Silver Hair, jade Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Chignon, round breasts, Drop earrings, rose stain lipstick, fauvism oil painting
Red Mesh Chemise with Strappy Back Detail, Goddess, Tall, Slim, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, soft breasts, Dangle earrings, violet matte lipstick, tenebrism oil painting
Blue Strappy Bodysuit with Cutouts, Goddess, Short, in shape, Heart-Shaped Face, Fair Skin, Silver Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Sleek Waves, round breasts, Huggie earrings, golden sheer lipstick, romanticism oil painting
Purple Velvet Bra and Panty Set with Lace Trim, Babe, Tall, Fit, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, black Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, round breasts, Clip-on earrings, soft pink velvet lipstick, baroque oil painting
Blue Strappy Bodysuit with Cutouts, Sensation, Tall, Thin, Oval Face, Tan Skin, Chestnut Hair, aquamarine Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Stacked Bob, round breasts, Stud earrings, coral matte lipstick, fauvism oil painting
Olive Green Mesh Garter Belt with Stockings, Visionary, Average Height, Fit, Heart-Shaped Face, Fair Skin, Silver Hair, coral Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Low Messy Bun, saggy breasts, Dangle earrings, plum velvet lipstick, expressionism oil painting
Green Satin and Lace Garter Belt with Matching Thong, Woman, Short, Lean, Square Face, Fair Skin, Black Hair, coral Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Layered Bob, asymmetrical breasts, Threader earrings, mauve metallic lipstick, Surrealist Art
Purple Velvet Slip with Lace Trim, Empress, Short, Firm, Oval Face, Fair Skin, Light Brown Hair, grey-blue Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, large breasts, Dangle earrings, pink cream lipstick, Contemporary Art
Cream Sequin Bra and Pant Set, Superwoman, Short, Firm, Round Face, Fair Skin, Brunette Hair, turquoise Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Braided Crown, asymmetrical breasts, Faux gauge earrings, cream metallic lipstick, ubiquitous oil painting
Black Cutout Bodysuit with Zipper, Babe, Average Height, Athletic, Round Face, Dark Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Side-Swept Bangs, round breasts, Threader earrings, burgundy cream lipstick, Graffiti
Charcoal Sheer Bra and Panty Set, Babe, Average Height, Toned, Triangular Face, Olive Skin, Light Brown Hair, yellow Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Tapered Afro, asymmetrical breasts, Dangle earrings, rust metallic lipstick, Neo-Conceptualism
Green Sequin Slip Dress with Thigh-High Slits, Diva, Average Height, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey-blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Triple Braided Crown, natural breasts, Clip-on earrings, pink sheer lipstick, impressionism oil painting
Blue Strappy Bodysuit with Cutouts, Escort, Average Height, in shape, Square Face, Olive Skin, Platinum Blonde Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Updo, full breasts, Drop earrings, rose matte lipstick, Engraving
Gold Mesh Bra and Panty Set with Garter Belt, Vixen, Average Height, Skinny, Triangular Face, Olive Skin, Red Hair, amber Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, saggy breasts, Stud earrings, golden metallic lipstick, Abstract Painting
Red Satin Kimono with Lace Sleeve Detail, Duchess, Short, Fit, Square Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, full breasts, Faux gauge earrings, coral cream lipstick, Collage
Pink Lace Chemise with Ruffle Details, Temptress, Short, Lean, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Beach Waves, round breasts, Stud earrings, fuchsia gloss lipstick, Etching
Black Cutout Bodysuit with Zipper, Seductress, Average Height, Firm, Oval Face, Tan Skin, Blonde Hair, Green Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Updo, full breasts, Drop earrings, teal metallic lipstick, Installation Art
Red Lace Bra and Panty Set with Garter Belt, Duchess, Average Height, Athletic, Triangular Face, Fair Skin, White Hair, teal Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Donut Bun, saggy breasts, Dangle earrings, orange matte lipstick, Minimalism
Pink Floral Corset, Empress, Average Height, Toned, Round Face, Dark Skin, Chestnut Hair, green Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Short Afro, round breasts, Clip-on earrings, soft pink cream lipstick, realism oil painting
Black Leather Bralette and Panty Set, Goddess, Short, Toned, Square Face, Fair Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Frohawk, asymmetrical breasts, Dangle earrings, orange gloss lipstick, Textile Art
Orange Satin Slip, Maven, Average Height, Thin, Square Face, Fair Skin, Dark Brown Hair, Gray Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, High Messy Bun, augmented breasts, Clip-on earrings, magenta cream lipstick, Etching
Pink Lace Chemise with Ruffle Details, Charmer, Tall, Skinny, Round Face, Tan Skin, White Hair, amber Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Ponytail, large breasts, Hoop earrings, black gloss lipstick, Minimalism
Pink Floral Corset, Escort, Short, Slim, Triangular Face, Tan Skin, Platinum Blonde Hair, amber Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Smooth Waves, round breasts, cream cream lipstick, Pop Art
Yellow Lace Garter Belt , Siren, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Braided Crown, soft breasts, Drop earrings, berry matte lipstick, Color Field Painting
Black Lace Bustier, Woman, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Blonde Hair, ruby Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Tousled Waves, full breasts, Clip-on earrings, golden cream lipstick, renaissance oil painting
Lavender Lace Bra and Panty Set , Charmer, Short, in shape, Round Face, Tan Skin, Auburn Hair, Brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Half Up Half Down, firm breasts, Drop earrings, red satin lipstick, Graffiti
Purple Velvet Slip with Lace Trim, Charmer, Average Height, Toned, Oval Face, Olive Skin, Red Hair, gold Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, full breasts, Hoop earrings, berry satin lipstick, Land Art
Green Satin and Lace Garter Belt with Matching Thong, Enchantress, Tall, Wide Hips, Triangular Face, Dark Skin, Brunette Hair, dark brown Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, French Roll, small breasts, Stud earrings, berry metallic lipstick, New Realism
Crimson Velvet Cami and Short Set , Woman, Average Height, Fit, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, asymmetrical breasts, Hoop earrings, rose gloss lipstick, Etching
Tan Faux Leather Slip Dress, Vixen, Tall, Toned, Triangular Face, Olive Skin, White Hair, grey Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, saggy breasts, Dangle earrings, magenta stain lipstick, Neo-Conceptualism
Teal Velvet Chemise with Ruffles , Duchess, Average Height, Thin, Square Face, Dark Skin, Black Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, saggy breasts, Huggie earrings, orange cream lipstick, tonalism oil painting
Charcoal Sheer Bra and Panty Set, Seductress, Tall, Thin, Oval Face, Olive Skin, Auburn Hair, Brown Eyes with Green Flecks, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Smooth Waves, soft breasts, Clip-on earrings, berry metallic lipstick, Printmaking
Red Satin Babydoll, Mistress, Short, Slim, Round Face, Olive Skin, Black Hair, Hazel Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Shaggy Cut, soft breasts, Stud earrings, peach stain lipstick, Assemblage
Teal Velvet Chemise with Ruffles , Madame, Average Height, Thin, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, green Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Fringed Bangs, augmented breasts, Faux gauge earrings, beige stain lipstick, Watercolor Painting
Crimson Velvet Cami and Short Set , Belle, Short, Toned, Oval Face, Dark Skin, Black Hair, red Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Loose Curls, firm breasts, Drop earrings, plum satin lipstick, Photography Manipulation
Red Satin Kimono with Lace Sleeve Detail, Lady, Short, Lean, Round Face, Olive Skin, Platinum Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Fine Hair, Wavy Bob, perky breasts, Stud earrings, berry gloss lipstick, expressionism oil painting
Brown Strappy Bodysuit, Visionary, Average Height, Lean, Heart-Shaped Face, Fair Skin, White Hair, grey Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob, firm breasts, Stud earrings, burgundy sheer lipstick, Assemblage
Purple Velvet Robe with Fur Trim , Starlet, Tall, in shape, Triangular Face, Olive Skin, Red Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Tapered Afro, natural breasts, Clip-on earrings, rose sheer lipstick, Realist Art
Olive Green Mesh Garter Belt with Stockings, Luminary, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, saggy breasts, Dangle earrings, teal sheer lipstick, Woodcut
Silver Sequin Bralette, Countess, Average Height, Skinny, Square Face, Tan Skin, Brunette Hair, Blue Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, firm breasts, Cuff earrings, berry satin lipstick, impressionism oil painting
Black Lace Bustier, Starlet, Tall, Athletic, Triangular Face, Olive Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Wedding Updo, perky breasts, Threader earrings, golden satin lipstick, Contemporary Art
Yellow Mesh Bralette and High-Waisted Panty Set, Charmer, Tall, in shape, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, ice blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Chignon, asymmetrical breasts, Dangle earrings, brown sheer lipstick, pointillism oil painting
Blue Strappy Bodysuit with Cutouts, Phenom, Tall, Toned, Oval Face, Tan Skin, Honey Blonde Hair, brown Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Rope Braid, perky breasts, Huggie earrings, golden gloss lipstick, Abstract Expressionism
Purple Velvet Slip with Lace Trim, Escort, Short, Thin, Diamond-Shaped Face, Fair Skin, Gray Hair, silver Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, large breasts, Clip-on earrings, violet sheer lipstick, renaissance oil painting
Orange Satin Slip, Chanteuse, Tall, Athletic, Triangular Face, Fair Skin, Golden Blonde Hair, Amber Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Boho Braid, saggy breasts, Dangle earrings, violet cream lipstick, Abstract Expressionism
Turquoise Sheer Chemise with Cutouts, Vixen, Short, in shape, Heart-Shaped Face, Olive Skin, Brunette Hair, dark brown Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Smooth Waves, firm breasts, Cuff earrings, lavender metallic lipstick, realism oil painting
Gold Mesh Bra and Panty Set with Garter Belt, Duchess, Short, Wide Hips, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Braided Half Up, asymmetrical breasts, Huggie earrings, rust stain lipstick, mannerism oil painting
Yellow Lace Halter Bralette and Thong Set, Empress, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, asymmetrical breasts, Faux gauge earrings, red gloss lipstick, Postmodernism
Red Lace Bra and Panty Set with Garter Belt, Gal, Short, Toned, Square Face, Dark Skin, Blonde Hair, Amber Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, asymmetrical breasts, Cuff earrings, red matte lipstick, Textile Art
Yellow Lace Garter Belt , Superwoman, Tall, in shape, Diamond-Shaped Face, Olive Skin, Light Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Layered Bob, small breasts, Cuff earrings, mauve satin lipstick, Abstract Painting
White Satin and Lace Bra and Panty Set, Visionary, Short, Wide Hips, Round Face, Fair Skin, Strawberry Blonde Hair, peach Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Sock Bun, firm breasts, Hoop earrings, green velvet lipstick, Sculpture
Gold Strappy Bodysuit, Heiress, Tall, Lean, Triangular Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Bun, asymmetrical breasts, Drop earrings, plum matte lipstick, Environmental Art
Teal Velvet Chemise with Ruffles , Sensation, Tall, Firm, Diamond-Shaped Face, Tan Skin, Black Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, High Chignon, asymmetrical breasts, Dangle earrings, teal matte lipstick, Pixel Art
Green Satin and Lace Garter Belt with Matching Thong, Queen, Tall, Lean, Triangular Face, Fair Skin, Silver Hair, ice blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Four-Strand Braid, saggy breasts, Huggie earrings, berry gloss lipstick, hyperrealism oil painting
Tan Faux Leather Slip Dress, Goddess, Short, Toned, Triangular Face, Fair Skin, Silver Hair, Sapphire Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, soft breasts, Threader earrings, magenta stain lipstick, Vector Illustration
Grey Faux Leather Corset , Diva, Tall, Lean, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, perky breasts, Faux gauge earrings, coral cream lipstick, Woodcut
Green Sequin Slip Dress with Thigh-High Slits, Madame, Short, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, ruby Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, small breasts, Threader earrings, orange velvet lipstick, tenebrism oil painting
Purple Velvet Slip with Lace Trim, Sensation, Tall, Narrow Hips, Triangular Face, Dark Skin, Brunette Hair, light blue Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, firm breasts, Dangle earrings, lavender sheer lipstick, Contemporary Art
Charcoal Sheer Bra and Panty Set, Heiress, Average Height, Skinny, Oval Face, Fair Skin, Red Hair, grey Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, large breasts, Hoop earrings, violet velvet lipstick, pointillism oil painting
Purple Velvet Robe with Fur Trim , Starlet, Average Height, Fit, Oval Face, Fair Skin, Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Sock Bun, round breasts, Clip-on earrings, black metallic lipstick, Kinetic Art
Olive Green Mesh Garter Belt with Stockings, Baroness, Tall, in shape, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Braided Headband, asymmetrical breasts, Stud earrings, red gloss lipstick, Postmodernism
